Title ID	Region	Name	Update Version	Required FW VERSION	PKG direct link	Last Modification Date
CUSA00075	EU	Watchever	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00075_00/3/f_2a4ac4917e652d435f43d0e130aa31c4121e162da6920132ef683e124b17dd1a/f/EP4378-CUSA00075_00-WATCHEVERFULL000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00076	EU	The Order: 1886	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00076_00/9/f_61eaa801d3445eda1d73af51401c09c18a6ad280c4b2334834f101b7d5145b81/f/EP9000-CUSA00076_00-TO1886GAME000000-A0102-V0100.json	2018-05-23 20:21:22
CUSA00078	US	Dying Light	1.05		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00078_00/9/f_70c990b990a8913a035d9d74a86fbe158958a859d58b7a8390dd4fe52db96035/f/UP1018-CUSA00078_00-DYINGLIGHTGAME00-A0105-V0100.json	2018-01-21 15:14:22
CUSA00079	US	Injustice: Gods Among Us - Ultimate Edition	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00079_00/3/f_36c156e040f29d930d622bee6d018c5b43b743dc1934b81db4987d1624dfa5ad/f/UP1018-CUSA00079_00-INJUSTICEULTIMAT-A0102-V0100.json	2018-01-21 15:14:22
CUSA00080	US	Warframe	1.17		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00080_00/21/f_0b33c8594c44e72ecd39aa577be052def78477b68a2793520d09aad7265b8c1f/f/UP2097-CUSA00080_00-WARFRAMEFINAL001-A0117-V0100.json	2018-01-21 15:14:08
CUSA00081	US	Pinball Arcade	1.23		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00081_00/39/f_16000258f79aaf2b082777e7b395a06c8fcf92a5532d49c983932de836ed1d3d/f/UP2058-CUSA00081_00-HDDBOOTPBA000001-A0123-V0100.json	2018-05-23 20:21:22
CUSA00083	US	LEGO® MARVEL Super Heroes	1.03		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00083_00/3/f_c6d44ae914d4a88b70ed9e1948f4d46a109691d74dcca2bec9c723eed9ffecc9/f/UP1018-CUSA00083_00-LEGOMARVEL000000-A0103-V0100.json	2018-05-23 20:21:22
CUSA00084	US	The LEGO® Movie - Videogame	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00084_00/2/f_39fc2ec42bdccbe7d9b34adc797da81f5888082faaed711239f2ea35fb454ca9/f/UP1018-CUSA00084_00-LEGOMOVIE0000000-A0101-V0101.json	2018-05-23 20:21:22
CUSA00085	JP	Killzone: Shadow Fall	1.70		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00085_00/46/f_fc8b58921cb9cc4b36a501ebba6979a13f53c1f1357ba74efba5f17afb9662e5/f/JP9000-CUSA00085_00-KZ4RELEASE000041-A0170-V0100.json	2018-01-21 15:14:22
CUSA00085	JP	KILLZONE® SHADOW FALL	1.81		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00085_00/50/f_5003513d0209cb497652b9eb9709ae7743326c7a90fa4cc44087ff65e42d6356/f/JP9000-CUSA00085_00-KZ4RELEASE000041-A0181-V0100.json	2018-05-23 20:21:22
CUSA00087	EU	Strider	1.01		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00087_00/1/f_9a21354b69dbf61f3ab0814ad343e7ed641fa5d64dadfa8a5af5ac835d416dd3/f/EP0102-CUSA00087_00-STREUHG4TRIAL001-A0101-V0100.json	2018-05-23 20:21:22
CUSA00088	EU	Madden NFL 25	1.04		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00088_00/4/f_d0488fb1eb37b6a22d74679aa146b8fa99c61a21667a4cccc7c71e54e1453901/f/EP0006-CUSA00088_00-MADDENNFL25GAME1-A0104-V0101.json	2018-05-23 20:21:22
CUSA00090	US	Sound Shapes	1.14		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00090_00/8/f_f7d8a9d417d71cdcbe087dd887fdc23e91f93e4e9bff93fee1b5892485bfc477/f/UP9000-CUSA00090_00-SOUNDSHAPES00000-A0114-V0100.json	2018-05-23 20:21:22
CUSA00091	US	Hohokum	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00091_00/2/f_2a6a7a00874008ae1382ad37db63759dc445da87055708a958945ca07baa1f5c/f/UP9000-CUSA00091_00-HOHOKUMGAMEPKG01-A0102-V0100.json	2018-05-23 20:21:22
CUSA00093	US	Drive Club	1.13		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00093_00/16/f_6c06ac0c31955c88f4036f63dedd1b39e4fd92f4ffba723b879e82d3c4a2571f/f/UP9000-CUSA00093_00-XXXXXXXDRIVECLUB-A0113-V0100.json	2018-01-21 15:04:51
CUSA00095	US	Crunchyroll	1.29		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00095_00/13/f_b1718437531ea29fb60b739f0e7f52f183b18f53363a1c647feac66b5593b324/f/UP2074-CUSA00095_00-201310082029XXXX-A0129-V0100.json	2018-05-23 20:21:22
CUSA00100	ASIA	The Order: 1886	1.02		http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00100_00/7/f_7dee119afdba781c13adcf0b239fcf6e9bff436b56a10cabdf6961eb4494157e/f/HP9000-CUSA00100_00-TO1886GAME000000-A0102-V0100.json	2018-05-23 20:21:22
